#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=2100 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:57 out:59 type:b dur:2 cpbdur:2 q:19.00 aq:13.90 tex:1465 mv:418 misc:1885 imb:0 pmb:265 smb:7895 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:18.66 aq:13.59 tex:1441 mv:99 misc:1236 imb:0 pmb:138 smb:8022 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:19.92 aq:11.67 tex:10366 mv:356 misc:3462 imb:4 pmb:621 smb:7535 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:19.20 aq:13.22 tex:3373 mv:209 misc:1962 imb:0 pmb:279 smb:7881 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:18.85 aq:13.36 tex:1410 mv:75 misc:1243 imb:0 pmb:138 smb:8022 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:19.56 aq:14.37 tex:870 mv:89 misc:897 imb:0 pmb:81 smb:8079 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:21.63 aq:13.01 tex:2045 mv:168 misc:1331 imb:4 pmb:148 smb:8008 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:20.77 aq:13.47 tex:1653 mv:111 misc:1324 imb:0 pmb:155 smb:8005 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:20.35 aq:14.22 tex:394 mv:49 misc:637 imb:0 pmb:34 smb:8126 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:21.20 aq:18.59 tex:40 mv:9 misc:439 imb:0 pmb:4 smb:8156 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:22.90 aq:16.41 tex:486977 mv:58708 misc:1963 imb:5029 pmb:2761 smb:370 d:s ref:0 w:7,113,17,6,58,11,57,14 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:22.26 aq:16.26 tex:110567 mv:30758 misc:5283 imb:1523 pmb:3397 smb:3240 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:21.94 aq:18.74 tex:9663 mv:2180 misc:2733 imb:26 pmb:859 smb:7275 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:22.58 aq:16.18 tex:10086 mv:2563 misc:3767 imb:51 pmb:801 smb:7308 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:25.03 aq:18.75 tex:560418 mv:63254 misc:1016 imb:5807 pmb:2306 smb:47 d:s ref:0 w:3,7,20,7,112,15,109,20 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:23.96 aq:16.34 tex:25787 mv:7718 misc:5463 imb:201 pmb:1763 smb:6196 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:23.43 aq:16.85 tex:14412 mv:5008 misc:4188 imb:102 pmb:1236 smb:6822 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:24.50 aq:17.60 tex:12985 mv:5014 misc:4353 imb:125 pmb:1181 smb:6854 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:26.34 aq:19.85 tex:568983 mv:65367 misc:986 imb:5869 pmb:2237 smb:54 d:s ref:0 w:7,121,10,7,115,12,112,17 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:25.69 aq:17.80 tex:17647 mv:5278 misc:5019 imb:144 pmb:1485 smb:6531 d:s ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:25.36 aq:18.52 tex:12479 mv:5069 misc:4404 imb:108 pmb:1325 smb:6727 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:26.01 aq:18.72 tex:8462 mv:4324 misc:3702 imb:82 pmb:1046 smb:7032 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:26.51 aq:19.72 tex:608121 mv:63975 misc:1416 imb:5810 pmb:2100 smb:250 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:26.42 aq:18.17 tex:13757 mv:4167 misc:4468 imb:99 pmb:1248 smb:6813 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:26.38 aq:18.90 tex:3898 mv:1218 misc:2436 imb:23 pmb:493 smb:7644 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:26.47 aq:18.94 tex:2319 mv:641 misc:1664 imb:12 pmb:253 smb:7895 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:26.02 aq:18.82 tex:706471 mv:63055 misc:866 imb:6259 pmb:1878 smb:23 d:s ref:0 w:6,73,-19,6,66,-4,67,-6 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:26.26 aq:17.91 tex:12919 mv:3280 misc:4353 imb:66 pmb:1163 smb:6931 d:s ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:26.39 aq:19.40 tex:6196 mv:2808 misc:3156 imb:62 pmb:763 smb:7335 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:26.14 aq:19.08 tex:4765 mv:1612 misc:2775 imb:35 pmb:544 smb:7581 d:- ref:0 ;
in:90 out:89 type:P dur:2 cpbdur:2 q:25.54 aq:11.49 tex:1227532 mv:67354 misc:826 imb:4903 pmb:3254 smb:3 d:s ref:0 w:6,69,-10,6,64,0,67,-6 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:25.78 aq:18.98 tex:14028 mv:6027 misc:4921 imb:157 pmb:2101 smb:5902 d:s ref:0 ;
in:94 out:91 type:P dur:2 cpbdur:2 q:25.93 aq:11.93 tex:89272 mv:8125 misc:7939 imb:67 pmb:3215 smb:4878 d:s ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:25.73 aq:17.53 tex:855 mv:224 misc:1057 imb:0 pmb:112 smb:8048 d:s ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:25.64 aq:18.08 tex:263 mv:60 misc:605 imb:0 pmb:30 smb:8130 d:s ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:25.83 aq:18.55 tex:229 mv:33 misc:530 imb:0 pmb:20 smb:8140 d:- ref:0 ;
in:98 out:95 type:P dur:2 cpbdur:2 q:25.96 aq:11.65 tex:33197 mv:2735 misc:5716 imb:35 pmb:1439 smb:6686 d:s ref:0 ;
in:96 out:96 type:B dur:2 cpbdur:2 q:25.95 aq:17.44 tex:557 mv:99 misc:824 imb:0 pmb:71 smb:8089 d:s ref:0 ;
in:95 out:97 type:b dur:2 cpbdur:2 q:25.94 aq:18.65 tex:227 mv:27 misc:522 imb:0 pmb:19 smb:8141 d:s ref:0 ;
in:97 out:98 type:b dur:2 cpbdur:2 q:25.96 aq:18.56 tex:203 mv:26 misc:523 imb:0 pmb:18 smb:8142 d:- ref:0 ;
in:102 out:99 type:P dur:2 cpbdur:2 q:26.13 aq:11.75 tex:16856 mv:1316 misc:4532 imb:27 pmb:940 smb:7193 d:s ref:0 ;
in:100 out:100 type:B dur:2 cpbdur:2 q:26.05 aq:17.47 tex:470 mv:68 misc:742 imb:0 pmb:56 smb:8104 d:s ref:0 ;
in:99 out:101 type:b dur:2 cpbdur:2 q:26.01 aq:18.56 tex:233 mv:29 misc:538 imb:0 pmb:21 smb:8139 d:s ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:26.09 aq:18.32 tex:164 mv:25 misc:499 imb:0 pmb:15 smb:8145 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:26.50 aq:12.18 tex:10200 mv:802 misc:3830 imb:25 pmb:711 smb:7424 d:s ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:26.32 aq:17.17 tex:469 mv:43 misc:736 imb:0 pmb:57 smb:8103 d:s ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:26.22 aq:18.32 tex:135 mv:18 misc:479 imb:0 pmb:11 smb:8149 d:s ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:26.41 aq:18.42 tex:145 mv:19 misc:484 imb:0 pmb:11 smb:8149 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:26.93 aq:12.76 tex:5981 mv:556 misc:2895 imb:18 pmb:463 smb:7679 d:s ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:26.72 aq:18.00 tex:343 mv:33 misc:648 imb:0 pmb:37 smb:8123 d:s ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:26.61 aq:18.73 tex:137 mv:20 misc:475 imb:0 pmb:10 smb:8150 d:s ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:26.82 aq:19.32 tex:120 mv:15 misc:465 imb:0 pmb:9 smb:8151 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:27.42 aq:13.18 tex:3653 mv:376 misc:2139 imb:12 pmb:294 smb:7854 d:s ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:27.18 aq:17.58 tex:277 mv:36 misc:623 imb:0 pmb:34 smb:8126 d:s ref:0 ;
in:111 out:113 type:b dur:2 cpbdur:2 q:27.06 aq:19.27 tex:113 mv:19 misc:452 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:113 out:114 type:b dur:2 cpbdur:2 q:27.30 aq:19.27 tex:114 mv:19 misc:451 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:118 out:115 type:P dur:2 cpbdur:2 q:28.71 aq:15.32 tex:1447 mv:158 misc:1275 imb:4 pmb:132 smb:8024 d:s ref:0 ;
in:116 out:116 type:B dur:2 cpbdur:2 q:28.07 aq:18.85 tex:288 mv:34 misc:646 imb:0 pmb:36 smb:8124 d:s ref:0 ;
in:115 out:117 type:b dur:2 cpbdur:2 q:27.75 aq:20.32 tex:99 mv:16 misc:437 imb:0 pmb:7 smb:8153 d:s ref:0 ;
in:117 out:118 type:b dur:2 cpbdur:2 q:28.39 aq:20.32 tex:99 mv:16 misc:437 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:122 out:119 type:P dur:2 cpbdur:2 q:28.11 aq:14.93 tex:948 mv:170 misc:1050 imb:5 pmb:94 smb:8061 d:s ref:0 ;
in:120 out:120 type:B dur:2 cpbdur:2 q:28.41 aq:18.84 tex:266 mv:30 misc:632 imb:0 pmb:33 smb:8127 d:s ref:0 ;
in:119 out:121 type:b dur:2 cpbdur:2 q:28.56 aq:20.35 tex:84 mv:15 misc:429 imb:0 pmb:6 smb:8154 d:s ref:0 ;
in:121 out:122 type:b dur:2 cpbdur:2 q:28.26 aq:20.32 tex:91 mv:15 misc:430 imb:0 pmb:6 smb:8154 d:- ref:0 ;
in:126 out:123 type:P dur:2 cpbdur:2 q:27.48 aq:14.40 tex:943 mv:202 misc:991 imb:8 pmb:81 smb:8071 d:s ref:0 ;
in:124 out:124 type:B dur:2 cpbdur:2 q:27.80 aq:19.45 tex:315 mv:32 misc:653 imb:0 pmb:37 smb:8123 d:s ref:0 ;
in:123 out:125 type:b dur:2 cpbdur:2 q:27.96 aq:20.32 tex:99 mv:16 misc:437 imb:0 pmb:7 smb:8153 d:s ref:0 ;
in:125 out:126 type:b dur:2 cpbdur:2 q:27.64 aq:19.61 tex:104 mv:16 misc:448 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:130 out:127 type:P dur:2 cpbdur:2 q:26.84 aq:14.61 tex:897 mv:165 misc:986 imb:5 pmb:82 smb:8073 d:s ref:0 ;
in:128 out:128 type:B dur:2 cpbdur:2 q:27.16 aq:18.48 tex:332 mv:37 misc:655 imb:0 pmb:38 smb:8122 d:s ref:0 ;
in:127 out:129 type:b dur:2 cpbdur:2 q:27.32 aq:19.27 tex:114 mv:19 misc:451 imb:0 pmb:8 smb:8152 d:s ref:0 ;
in:129 out:130 type:b dur:2 cpbdur:2 q:27.00 aq:19.27 tex:113 mv:19 misc:452 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:26.20 aq:15.06 tex:1575 mv:249 misc:1240 imb:7 pmb:136 smb:8017 d:s ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:26.52 aq:17.35 tex:493 mv:38 misc:821 imb:0 pmb:64 smb:8096 d:s ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:26.68 aq:18.61 tex:93 mv:16 misc:459 imb:0 pmb:7 smb:8153 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:26.36 aq:18.49 tex:145 mv:24 misc:503 imb:0 pmb:14 smb:8146 d:- ref:0 ;
in:138 out:135 type:P dur:2 cpbdur:2 q:25.56 aq:16.25 tex:552 mv:122 misc:846 imb:2 pmb:62 smb:8096 d:s ref:0 ;
in:136 out:136 type:B dur:2 cpbdur:2 q:25.88 aq:17.41 tex:471 mv:43 misc:766 imb:0 pmb:56 smb:8104 d:s ref:0 ;
in:135 out:137 type:b dur:2 cpbdur:2 q:26.04 aq:18.71 tex:304 mv:35 misc:605 imb:0 pmb:31 smb:8129 d:s ref:0 ;
in:137 out:138 type:b dur:2 cpbdur:2 q:25.72 aq:17.34 tex:205 mv:29 misc:542 imb:0 pmb:20 smb:8140 d:- ref:0 ;
in:142 out:139 type:P dur:2 cpbdur:2 q:24.92 aq:18.48 tex:462920 mv:60838 misc:1018 imb:6135 pmb:1960 smb:65 d:s ref:0 w:7,111,16,7,109,18,107,21 ;
in:140 out:140 type:B dur:2 cpbdur:2 q:25.24 aq:17.46 tex:28430 mv:8319 misc:5523 imb:328 pmb:2750 smb:5082 d:s ref:0 ;
in:139 out:141 type:b dur:2 cpbdur:2 q:25.40 aq:18.94 tex:22948 mv:9629 misc:5319 imb:366 pmb:2703 smb:5091 d:s ref:0 ;
in:141 out:142 type:b dur:2 cpbdur:2 q:25.08 aq:18.03 tex:9027 mv:2590 misc:3879 imb:82 pmb:998 smb:7080 d:- ref:0 ;
in:146 out:143 type:P dur:2 cpbdur:2 q:24.87 aq:18.40 tex:567890 mv:65190 misc:824 imb:6184 pmb:1963 smb:13 d:s ref:0 w:7,117,10,7,120,8,115,13 ;
in:144 out:144 type:B dur:2 cpbdur:2 q:24.90 aq:16.75 tex:17878 mv:4738 misc:4816 imb:113 pmb:1400 smb:6647 d:s ref:0 ;
in:143 out:145 type:b dur:2 cpbdur:2 q:24.91 aq:18.01 tex:12535 mv:4535 misc:4370 imb:120 pmb:1277 smb:6763 d:s ref:0 ;
in:145 out:146 type:b dur:2 cpbdur:2 q:24.89 aq:17.78 tex:5919 mv:1371 misc:3198 imb:27 pmb:650 smb:7483 d:- ref:0 ;
in:150 out:147 type:P dur:2 cpbdur:2 q:24.92 aq:18.32 tex:621974 mv:64719 misc:859 imb:6269 pmb:1861 smb:30 d:s ref:0 w:0,1,-2 ;
in:148 out:148 type:B dur:2 cpbdur:2 q:24.90 aq:17.22 tex:23162 mv:6924 misc:5682 imb:185 pmb:1717 smb:6258 d:s ref:0 ;
in:147 out:149 type:b dur:2 cpbdur:2 q:24.89 aq:17.81 tex:8428 mv:2547 misc:3769 imb:53 pmb:871 smb:7236 d:s ref:0 ;
